Temperature ni=1e17 ni=5e17 ni=1e18 ni=5e18 ni=1e19
eV
0.01 1E-38 1E-38 1E-38 4.04190081E-30 2.17684924E-18
0.0101 1E-38 1E-38 1E-38 4.47063506E-30 2.27093253E-18
0.0201 1E-38 1E-38 1E-38 3.63497549E-26 1.24628494E-16
0.0301 1E-38 1E-38 1E-38 4.94768236E-23 4.16014518E-15
0.0401 1E-38 1E-38 1.1364628E-37 1.78718226E-20 8.86820466E-14
0.0501 1E-38 1.173882E-36 6.12144307E-32 2.38443114E-18 1.29709192E-12
0.0601 2.48835413E-36 3.48891267E-31 1.38686488E-27 1.48195755E-16 1.38568817E-11
0.0701 6.08701508E-31 5.32882125E-27 3.67142362E-24 5.06525689E-15 1.13779376E-10
0.0801 8.17009113E-27 1.0718489E-23 2.12141439E-21 1.07499825E-13 7.48202495E-10
0.0901 1.50195245E-23 5.07611825E-21 4.00597702E-19 1.55114792E-12 4.07337989E-9
0.1001 6.66500869E-21 8.2616955E-19 3.24624083E-17 1.63059917E-11 1.8861393E-8
0.1101 1.03341599E-18 5.97400059E-17 1.36574959E-15 1.31746845E-10 7.59228083E-8
0.1201 7.20060799E-17 2.29883102E-15 3.42198247E-14 8.53336729E-10 2.70346891E-7
0.1301 2.69177817E-15 5.36423724E-14 5.65103246E-13 4.58210956E-9 8.62659219E-7
0.1401 6.13829064E-14 8.36214461E-13 6.63976628E-12 2.09568144E-8 2.4853366E-6
0.1501 9.39270949E-13 9.37078394E-12 5.88719518E-11 8.34524686E-8 6.4695829E-6
0.1601 1.03669277E-11 7.98795811E-11 4.12449653E-10 2.94533072E-7 1.51368716E-5
0.1701 8.72664422E-11 5.41422719E-10 2.36799928E-9 9.34334361E-7 3.1685265E-5
0.1801 5.85300306E-10 3.02251127E-9 1.14726383E-8 2.69099183E-6 5.96325955E-5
0.1901 3.23856734E-9 1.42966603E-8 4.80339827E-8 7.07386997E-6 1.02471485E-4
0.2001 1.52032751E-8 5.8633849E-8 1.7721654E-7 1.69676768E-5 1.63845881E-4
0.2101 6.19498389E-8 2.12487136E-7 5.85470217E-7 3.69759191E-5 2.47856999E-4
0.2201 2.23260607E-7 6.91174988E-7 1.75500966E-6 7.30040014E-5 3.59229392E-4
0.2301 7.22794655E-7 2.04432621E-6 4.82434484E-6 1.31257584E-4 5.03353414E-4
0.2401 2.12959869E-6 5.55715247E-6 1.22592813E-5 2.17728003E-4 6.86271496E-4
0.2501 5.77301979E-6 1.40020598E-5 2.89461419E-5 3.38504567E-4 9.146461E-4
0.2601 1.45314593E-5 3.29081781E-5 6.36268528E-5 5.00274019E-4 0.00119571793
0.2701 3.42236188E-5 7.24202208E-5 1.3006449E-4 7.10595151E-4 0.00153725958
0.2801 7.58820503E-5 1.49418876E-4 2.46739484E-4 9.77965823E-4 0.00194752678
0.2901 1.59152569E-4 2.88783197E-4 4.34489232E-4 0.00131179134 0.00243519962
0.3001 3.16786045E-4 5.22165512E-4 7.13688447E-4 0.00172231507 0.00300932742
0.3101 5.99452811E-4 8.84006986E-4 0.00110327146 0.00222054244 0.00367926647
0.3201 0.00107886024 0.00140738007 0.00162166041 0.00281815273 0.00445461653
0.3301 0.0018462221 0.00212260809 0.00228807202 0.00352740939 0.00534515695
0.3401 0.00300441647 0.00305856582 0.00312329047 0.00436106827 0.00636077263
0.3501 0.00465649529 0.00424459602 0.00414987944 0.00533227864 0.00751140112
0.3601 0.00689672368 0.00571171418 0.00539208686 0.00645449257 0.00880695598
0.3701 0.00980814711 0.0074929906 0.00687560218 0.00774134738 0.0102572643
0.3801 0.013465338 0.00962342262 0.00862727032 0.00920657532 0.0118720024
0.3901 0.0179384087 0.0121395537 0.010674789 0.0108638986 0.0136606376
0.4001 0.0232958464 0.0150789908 0.0130463979 0.0127269151 0.015632349
0.4101 0.029605416 0.0184798668 0.0157705512 0.0148090238 0.0177960045
0.4201 0.0369337657 0.0223803344 0.0188756655 0.017123282 0.0201600729
0.4301 0.0453451936 0.0268180288 0.0223897127 0.0196823512 0.0227325861
0.4401 0.0549000288 0.0318295388 0.026339986 0.0224983735 0.0255210876
0.4501 0.0656528614 0.0374498841 0.0307527551 0.0255828904 0.0285325866
0.4601 0.0776507555 0.0437119997 0.0356529685 0.0289467555 0.0317735155
0.4701 0.090931517 0.0506462338 0.0410639561 0.0326000522 0.0352496913
0.4801 0.105522069 0.0582798618 0.0470071418 0.0365520165 0.0389662808
0.4901 0.121436972 0.0666366222 0.0535017684 0.0408109667 0.0429277712
0.5001 0.138677128 0.0757362812 0.0605646384 0.045384238 0.0471379358
0.5101 0.157228712 0.08559423 0.0682099065 0.0502781245 0.0515998226
0.5201 0.177062351 0.0962211234 0.0764487346 0.0554978274 0.0563157471
0.5301 0.198132611 0.107622518 0.0852892756 0.0610474424 0.0612871909
